statistic,statistic_label,tlist(a1),year,c02339v02812,county,c03346v04033,dwelling_status,c03341v04028,stamp_duty_event,c03344v04031,type_of_buyer,c03342v04029,type_of_sale,unit,value
HPA02C01,Volume Of Sales,2010,2010,09,Offaly,01,New,1,Filings,-,All Buyer Types,01,Market,Number,80.0
HPA02C01,Volume Of Sales,2010,2010,09,Offaly,01,New,1,Filings,01,Household Buyer - All,01,Market,Number,78.0
HPA02C01,Volume Of Sales,2010,2010,09,Offaly,01,New,2,Executions,-,All Buyer Types,01,Market,Number,56.0
HPA02C01,Volume Of Sales,2010,2010,09,Offaly,01,New,2,Executions,01,Household Buyer - All,01,Market,Number,54.0
HPA02C01,Volume Of Sales,2010,2010,09,Offaly,02,Existing,1,Filings,-,All Buyer Types,01,Market,Number,136.0
HPA02C01,Volume Of Sales,2010,2010,09,Offaly,02,Existing,1,Filings,01,Household Buyer - All,01,Market,Number,132.0
HPA02C01,Volume Of Sales,2010,2010,09,Offaly,02,Existing,2,Executions,-,All Buyer Types,01,Market,Number,147.0
HPA02C01,Volume Of Sales,2010,2010,09,Offaly,02,Existing,2,Executions,01,Household Buyer - All,01,Market,Number,141.0
HPA02C01,Volume Of Sales,2010,2010,10,Westmeath,01,New,1,Filings,-,All Buyer Types,01,Market,Number,141.0
HPA02C01,Volume Of Sales,2010,2010,10,Westmeath,01,New,1,Filings,01,Household Buyer - All,01,Market,Number,130.0
HPA02C01,Volume Of Sales,2010,2010,10,Westmeath,01,New,2,Executions,-,All Buyer Types,01,Market,Number,128.0
HPA02C01,Volume Of Sales,2010,2010,10,Westmeath,01,New,2,Executions,01,Household Buyer - All,01,Market,Number,117.0
HPA02C01,Volume Of Sales,2010,2010,10,Westmeath,02,Existing,1,Filings,-,All Buyer Types,01,Market,Number,226.0
HPA02C01,Volume Of Sales,2010,2010,10,Westmeath,02,Existing,1,Filings,01,Household Buyer - All,01,Market,Number,216.0
HPA02C01,Volume Of Sales,2010,2010,10,Westmeath,02,Existing,2,Executions,-,All Buyer Types,01,Market,Number,223.0
HPA02C01,Volume Of Sales,2010,2010,10,Westmeath,02,Existing,2,Executions,01,Household Buyer - All,01,Market,Number,213.0
HPA02C01,Volume Of Sales,2010,2010,11,Wexford,01,New,1,Filings,-,All Buyer Types,01,Market,Number,224.0
HPA02C01,Volume Of Sales,2010,2010,11,Wexford,01,New,1,Filings,01,Household Buyer - All,01,Market,Number,208.0
HPA02C01,Volume Of Sales,2010,2010,11,Wexford,01,New,2,Executions,-,All Buyer Types,01,Market,Number,197.0
HPA02C01,Volume Of Sales,2010,2010,11,Wexford,01,New,2,Executions,01,Household Buyer - All,01,Market,Number,180.0
HPA02C01,Volume Of Sales,2010,2010,11,Wexford,02,Existing,1,Filings,-,All Buyer Types,01,Market,Number,436.0
HPA02C01,Volume Of Sales,2010,2010,11,Wexford,02,Existing,1,Filings,01,Household Buyer - All,01,Market,Number,417.0
HPA02C01,Volume Of Sales,2010,2010,11,Wexford,02,Existing,2,Executions,-,All Buyer Types,01,Market,Number,453.0
HPA02C01,Volume Of Sales,2010,2010,11,Wexford,02,Existing,2,Executions,01,Household Buyer - All,01,Market,Number,437.0
HPA02C01,Volume Of Sales,2010,2010,12,Wicklow,01,New,1,Filings,-,All Buyer Types,01,Market,Number,234.0
HPA02C01,Volume Of Sales,2010,2010,12,Wicklow,01,New,1,Filings,01,Household Buyer - All,01,Market,Number,233.0
HPA02C01,Volume Of Sales,2010,2010,12,Wicklow,01,New,2,Executions,-,All Buyer Types,01,Market,Number,202.0
HPA02C01,Volume Of Sales,2010,2010,12,Wicklow,01,New,2,Executions,01,Household Buyer - All,01,Market,Number,202.0
HPA02C01,Volume Of Sales,2010,2010,12,Wicklow,02,Existing,1,Filings,-,All Buyer Types,01,Market,Number,418.0
HPA02C01,Volume Of Sales,2010,2010,12,Wicklow,02,Existing,1,Filings,01,Household Buyer - All,01,Market,Number,415.0
HPA02C01,Volume Of Sales,2010,2010,12,Wicklow,02,Existing,2,Executions,-,All Buyer Types,01,Market,Number,424.0
HPA02C01,Volume Of Sales,2010,2010,12,Wicklow,02,Existing,2,Executions,01,Household Buyer - All,01,Market,Number,422.0
HPA02C01,Volume Of Sales,2010,2010,13,Clare,01,New,1,Filings,-,All Buyer Types,01,Market,Number,148.0
HPA02C01,Volume Of Sales,2010,2010,13,Clare,01,New,1,Filings,01,Household Buyer - All,01,Market,Number,146.0
HPA02C01,Volume Of Sales,2010,2010,13,Clare,01,New,2,Executions,-,All Buyer Types,01,Market,Number,109.0
HPA02C01,Volume Of Sales,2010,2010,13,Clare,01,New,2,Executions,01,Household Buyer - All,01,Market,Number,106.0
HPA02C01,Volume Of Sales,2010,2010,13,Clare,02,Existing,1,Filings,-,All Buyer Types,01,Market,Number,355.0
HPA02C01,Volume Of Sales,2010,2010,13,Clare,02,Existing,1,Filings,01,Household Buyer - All,01,Market,Number,350.0
HPA02C01,Volume Of Sales,2010,2010,13,Clare,02,Existing,2,Executions,-,All Buyer Types,01,Market,Number,330.0
HPA02C01,Volume Of Sales,2010,2010,13,Clare,02,Existing,2,Executions,01,Household Buyer - All,01,Market,Number,326.0
HPA02C01,Volume Of Sales,2010,2010,14,Cork,01,New,1,Filings,-,All Buyer Types,01,Market,Number,651.0
HPA02C01,Volume Of Sales,2010,2010,14,Cork,01,New,1,Filings,01,Household Buyer - All,01,Market,Number,619.0
HPA02C01,Volume Of Sales,2010,2010,14,Cork,01,New,2,Executions,-,All Buyer Types,01,Market,Number,516.0
HPA02C01,Volume Of Sales,2010,2010,14,Cork,01,New,2,Executions,01,Household Buyer - All,01,Market,Number,485.0
HPA02C01,Volume Of Sales,2010,2010,14,Cork,02,Existing,1,Filings,-,All Buyer Types,01,Market,Number,1451.0
HPA02C01,Volume Of Sales,2010,2010,14,Cork,02,Existing,1,Filings,01,Household Buyer - All,01,Market,Number,1416.0
HPA02C01,Volume Of Sales,2010,2010,14,Cork,02,Existing,2,Executions,-,All Buyer Types,01,Market,Number,1461.0
HPA02C01,Volume Of Sales,2010,2010,14,Cork,02,Existing,2,Executions,01,Household Buyer - All,01,Market,Number,1426.0
HPA02C01,Volume Of Sales,2010,2010,15,Kerry,01,New,1,Filings,-,All Buyer Types,01,Market,Number,189.0
HPA02C01,Volume Of Sales,2010,2010,15,Kerry,01,New,1,Filings,01,Household Buyer - All,01,Market,Number,177.0
HPA02C01,Volume Of Sales,2010,2010,15,Kerry,01,New,2,Executions,-,All Buyer Types,01,Market,Number,143.0
HPA02C01,Volume Of Sales,2010,2010,15,Kerry,01,New,2,Executions,01,Household Buyer - All,01,Market,Number,132.0
